nohup: ignoring input
time=2025-09-14T18:45:49.180-06:00 level=INFO source=routes.go:1331 msg="server config" env="map[CUDA_VISIBLE_DEVICES:0 GPU_DEVICE_ORDINAL: HIP_VISIBLE_DEVICES: HSA_OVERRIDE_GFX_VERSION: HTTPS_PROXY: HTTP_PROXY: NO_PROXY: OLLAMA_CONTEXT_LENGTH:4096 OLLAMA_DEBUG:INFO OLLAMA_FLASH_ATTENTION:false OLLAMA_GPU_OVERHEAD:0 OLLAMA_HOST:http://0.0.0.0:9999 OLLAMA_INTEL_GPU:false OLLAMA_KEEP_ALIVE:5m0s OLLAMA_KV_CACHE_TYPE: OLLAMA_LLM_LIBRARY: OLLAMA_LOAD_TIMEOUT:5m0s OLLAMA_MAX_LOADED_MODELS:1 OLLAMA_MAX_QUEUE:512 OLLAMA_MODELS:/scratch/alpine/niho8409/ollama/models OLLAMA_MULTIUSER_CACHE:false OLLAMA_NEW_ENGINE:false OLLAMA_NEW_ESTIMATES:false OLLAMA_NOHISTORY:false OLLAMA_NOPRUNE:false OLLAMA_NUM_PARALLEL:1 OLLAMA_ORIGINS:[http://localhost https://localhost http://localhost:* https://localhost:* http://127.0.0.1 https://127.0.0.1 http://127.0.0.1:* https://127.0.0.1:* http://0.0.0.0 https://0.0.0.0 http://0.0.0.0:* https://0.0.0.0:* app://* file://* tauri://* vscode-webview://* vscode-file://*] OLLAMA_SCHED_SPREAD:false ROCR_VISIBLE_DEVICES: http_proxy: https_proxy: no_proxy:]"
time=2025-09-14T18:45:49.207-06:00 level=INFO source=images.go:477 msg="total blobs: 9"
time=2025-09-14T18:45:49.208-06:00 level=INFO source=images.go:484 msg="total unused blobs removed: 0"
time=2025-09-14T18:45:49.208-06:00 level=INFO source=routes.go:1384 msg="Listening on [::]:9999 (version 0.11.10)"
time=2025-09-14T18:45:49.208-06:00 level=INFO source=gpu.go:217 msg="looking for compatible GPUs"
time=2025-09-14T18:45:49.659-06:00 level=INFO source=types.go:131 msg="inference compute" id=GPU-019a1c87-a4aa-f269-7894-7d129858442b library=cuda variant=v12 compute=8.0 driver=12.4 name="NVIDIA A100-PCIE-40GB" total="39.4 GiB" available="39.0 GiB"
[GIN] 2025/09/14 - 18:52:42 | 404 |    1.480235ms |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     699.542µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     624.871µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     830.698µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     637.355µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     786.023µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     759.825µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     654.978µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     815.168µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     867.276µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     691.767µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     795.612µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     868.188µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     719.429µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     651.592µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     867.326µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     729.497µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |      591.97µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     794.259µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     616.266µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     635.371µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |      773.36µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     678.291µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     623.629µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     824.616µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     717.124µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     637.135µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     796.113µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     657.042µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     666.019µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     634.199µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     814.126µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     666.269µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     636.785µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     792.215µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |       666.4µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     817.293µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     800.121µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     685.776µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     635.612µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     790.933µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     666.891µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     610.114µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     775.133µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     647.715µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     621.405µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     805.259µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     666.109µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     815.819µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     814.827µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     675.738µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     637.526µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     802.294µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     664.856µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     598.612µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     757.991µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     791.945µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     638.758µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     822.682µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     649.849µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     755.467µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |      847.87µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     686.788µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     622.557µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     771.387µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     679.174µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     616.947µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     847.259µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     577.192µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     592.792µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     820.689µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |       650.7µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     824.727µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     832.081µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     692.579µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     759.243µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     729.878µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     644.779µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     630.783µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     819.036µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     633.948µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     620.683µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     757.331µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |      666.44µs |    10.225.8.163 | POST     "/api/chat"
